  ****** BEGIN CANON-WAVEFT*************************
  *       Ge  76  N =  44  Z =  32
    4.7586    2.7879    3.9680    0.0000    3.8667
   10.5396   10.7647    0.0000    3.6836
 single-particle energies and gaps  in the canonical basis: Neutron:
 ------------------------------------------------------------------
 -------------------------------------------
 j = 1/2+    -56.2339
    14.000       0.000005      -0.000000
    14.100       0.000004      -0.000000
    14.200       0.000003      -0.000000
    14.300       0.000003      -0.000000
    14.400       0.000002      -0.000000
    14.500       0.000002      -0.000000
    14.600       0.000001      -0.000000
    14.700       0.000001      -0.000000
    14.800       0.000001      -0.000000
    14.900       0.000001      -0.000000
    15.000       0.000000      -0.000000
    15.100       0.000000      -0.000000
    15.200       0.000000      -0.000000
    15.300       0.000000      -0.000000
    15.400       0.000000      -0.000000
    15.500       0.000000      -0.000000
    15.600       0.000000      -0.000000
    15.700       0.000000      -0.000000
    15.800       0.000000      -0.000000
    15.900       0.000000      -0.000000
    16.000       0.000000      -0.000000
    16.100       0.000000      -0.000000
    16.200       0.000000      -0.000000
    16.300       0.000000      -0.000000
    16.400       0.000000      -0.000000
    16.500       0.000000      -0.000000
    16.600       0.000000      -0.000000
    16.700       0.000000      -0.000000
    16.800       0.000000      -0.000000
    16.900       0.000000      -0.000000
    17.000       0.000000      -0.000000
    17.100       0.000000      -0.000000
    17.200       0.000000      -0.000000
    17.300       0.000000      -0.000000
    17.400       0.000000      -0.000000
    17.500       0.000000      -0.000000
    17.600       0.000000      -0.000000
    17.700       0.000000      -0.000000
    17.800       0.000000      -0.000000
    17.900       0.000000      -0.000000
    18.000       0.000000      -0.000000
    18.100       0.000000      -0.000000
    18.200       0.000000      -0.000000
    18.300       0.000000      -0.000000
    18.400       0.000000      -0.000000
    18.500       0.000000      -0.000000
    18.600       0.000000      -0.000000
    18.700       0.000000      -0.000000
    18.800       0.000000      -0.000000
    18.900       0.000000      -0.000000
    19.000       0.000000      -0.000000
    19.100       0.000000      -0.000000
    19.200       0.000000      -0.000000
 j = 1/2+     19.9497
     0.000       0.518031       0.143057
     0.100       0.516226       0.142681
     0.200       0.510814       0.141553
     0.300       0.501809       0.139664
     0.400       0.489236       0.137002
     0.500       0.473140       0.133554
     0.600       0.453590       0.129305
     0.700       0.430689       0.124249
     0.800       0.404583       0.118383
     0.900       0.375470       0.111718
     1.000       0.343604       0.104276
     1.100       0.309301       0.096099
     1.200       0.272945       0.087246
     1.300       0.234983       0.077796
     1.400       0.195924       0.067849
     1.500       0.156330       0.057524
     1.600       0.116806       0.046959
     1.700       0.077988       0.036304
     1.800       0.040523       0.025724
     1.900       0.005055       0.015386
     2.000      -0.027799       0.005463
     2.100      -0.057466      -0.003879
     2.200      -0.083435      -0.012483
     2.300      -0.105279      -0.020204
     2.400      -0.122668      -0.026921
     2.500      -0.135379      -0.032534
     2.600      -0.143312      -0.036970
     2.700      -0.146484      -0.040187
     2.800      -0.145039      -0.042173
     2.900      -0.139239      -0.042949
     3.000      -0.129454      -0.042564
     3.100      -0.116155      -0.041097
     3.200      -0.099891      -0.038652
     3.300      -0.081277      -0.035354
     3.400      -0.060970      -0.031346
     3.500      -0.039649      -0.026780
     3.600      -0.017993      -0.021819
     3.700       0.003343      -0.016625
     3.800       0.023742      -0.011355
     3.900       0.042648      -0.006161
     4.000       0.059576      -0.001180
     4.100       0.074127       0.003468
     4.200       0.085996       0.007678
     4.300       0.094974       0.011370
     4.400       0.100950       0.014484
     4.500       0.103909       0.016982
     4.600       0.103926       0.018848
     4.700       0.101157       0.020087
     4.800       0.095831       0.020721
     4.900       0.088232       0.020789
     5.000       0.078692       0.020343
     5.100       0.067574       0.019447
     5.200       0.055256       0.018169
     5.300       0.042123       0.016585
     5.400       0.028551       0.014770
     5.500       0.014897       0.012798
     5.600       0.001488       0.010741
     5.700      -0.011382       0.008664
     5.800      -0.023462       0.006626
     5.900      -0.034546       0.004677
     6.000      -0.044474       0.002858
     6.100      -0.053134       0.001203
     6.200      -0.060456      -0.000265
     6.300      -0.066415      -0.001533
     6.400      -0.071022      -0.002594
     6.500      -0.074324      -0.003447
     6.600      -0.076394      -0.004101
     6.700      -0.077327      -0.004568
     6.800      -0.077236      -0.004864
     6.900      -0.076245      -0.005008
     7.000      -0.074484      -0.005020
     7.100      -0.072084      -0.004924
     7.200      -0.069176      -0.004740
     7.300      -0.065882      -0.004489
     7.400      -0.062316      -0.004192
     7.500      -0.058583      -0.003866
     7.600      -0.054774      -0.003527
     7.700      -0.050968      -0.003187
     7.800      -0.047232      -0.002859
     7.900      -0.043616      -0.002549
     8.000      -0.040163      -0.002266
     8.100      -0.036902      -0.002011
     8.200      -0.033852      -0.001789
     8.300      -0.031022      -0.001598
     8.400      -0.028417      -0.001439
     8.500      -0.026031      -0.001310
     8.600      -0.023857      -0.001208
     8.700      -0.021883      -0.001129
     8.800      -0.020094      -0.001070
     8.900      -0.018475      -0.001028
     9.000      -0.017008      -0.000999
     9.100      -0.015678      -0.000980
     9.200      -0.014469      -0.000967
     9.300      -0.013366      -0.000958
     9.400      -0.012355      -0.000951
     9.500      -0.011424      -0.000943
     9.600      -0.010563      -0.000933
     9.700      -0.009763      -0.000920
     9.800      -0.009016      -0.000903
     9.900      -0.008317      -0.000882
    10.000      -0.007660      -0.000857
    10.100      -0.007042      -0.000828
    10.200      -0.006460      -0.000795
    10.300      -0.005912      -0.000758
    10.400      -0.005395      -0.000719
    10.500      -0.004909      -0.000678
    10.600      -0.004453      -0.000635
    10.700      -0.004027      -0.000592
    10.800      -0.003629      -0.000548
    10.900      -0.003258      -0.000505
    11.000      -0.002915      -0.000462
    11.100      -0.002599      -0.000421
    11.200      -0.002308      -0.000381
    11.300      -0.002042      -0.000343
    11.400      -0.001800      -0.000308
    11.500      -0.001581      -0.000274
    11.600      -0.001383      -0.000243
    11.700      -0.001205      -0.000215
    11.800      -0.001046      -0.000189
    11.900      -0.000904      -0.000165
    12.000      -0.000779      -0.000144
    12.100      -0.000668      -0.000125
    12.200      -0.000571      -0.000107
    12.300      -0.000487      -0.000092
    12.400      -0.000413      -0.000079
    12.500      -0.000349      -0.000067
    12.600      -0.000294      -0.000057
    12.700      -0.000247      -0.000048
    12.800      -0.000206      -0.000040
    12.900      -0.000172      -0.000034
    13.000      -0.000142      -0.000028
    13.100      -0.000118      -0.000024
    13.200      -0.000097      -0.000019
    13.300      -0.000080      -0.000016
    13.400      -0.000065      -0.000013
    13.500      -0.000053      -0.000011
    13.600      -0.000043      -0.000009
    13.700      -0.000035      -0.000007
    13.800      -0.000028      -0.000006
    13.900      -0.000023      -0.000005
    14.000      -0.000018      -0.000004
    14.100      -0.000015      -0.000003
    14.200      -0.000012      -0.000002
    14.300      -0.000009      -0.000002
    14.400      -0.000007      -0.000002
    14.500      -0.000006      -0.000001
    14.600      -0.000004      -0.000001
    14.700      -0.000004      -0.000001
    14.800      -0.000003      -0.000001
    14.900      -0.000002      -0.000000
    15.000      -0.000002      -0.000000
    15.100      -0.000001      -0.000000
    15.200      -0.000001      -0.000000
    15.300      -0.000001      -0.000000
    15.400      -0.000001      -0.000000
    15.500      -0.000000      -0.000000
    15.600      -0.000000      -0.000000
    15.700      -0.000000      -0.000000
    15.800      -0.000000      -0.000000
    15.900      -0.000000      -0.000000
    16.000      -0.000000      -0.000000
    16.100      -0.000000      -0.000000
    16.200      -0.000000      -0.000000
    16.300      -0.000000      -0.000000
    16.400      -0.000000      -0.000000
    16.500      -0.000000      -0.000000
    16.600      -0.000000      -0.000000
    16.700      -0.000000      -0.000000
    16.800      -0.000000      -0.000000
    16.900      -0.000000      -0.000000
    17.000      -0.000000      -0.000000
    17.100      -0.000000      -0.000000
    17.200      -0.000000      -0.000000
    17.300      -0.000000      -0.000000
    17.400      -0.000000      -0.000000
    17.500      -0.000000      -0.000000
    17.600      -0.000000      -0.000000
    17.700      -0.000000      -0.000000
    17.800      -0.000000      -0.000000
    17.900      -0.000000      -0.000000
    18.000      -0.000000      -0.000000
    18.100      -0.000000      -0.000000
    18.200      -0.000000      -0.000000
    18.300      -0.000000      -0.000000
    18.400      -0.000000      -0.000000
    18.500      -0.000000      -0.000000
    18.600      -0.000000      -0.000000
    18.700      -0.000000      -0.000000
    18.800      -0.000000      -0.000000
    18.900      -0.000000      -0.000000
    19.000      -0.000000      -0.000000
    19.100      -0.000000      -0.000000
    19.200      -0.000000      -0.000000
 j = 1/2+     23.8398
     0.000       0.061121       0.020845
     0.100       0.061422       0.020919
     0.200       0.062288       0.021134
     0.300       0.063604       0.021460
     0.400       0.065193       0.021850
     0.500       0.066823       0.022245
     0.600       0.068224       0.022576
     0.700       0.069112       0.022766
     0.800       0.069207       0.022742
     0.900       0.068255       0.022434
     1.000       0.066048       0.021784
     1.100       0.062442       0.020748
     1.200       0.057368       0.019302
     1.300       0.050846       0.017442
     1.400       0.042981       0.015188
     1.500       0.033968       0.012582
     1.600       0.024078       0.009687
     1.700       0.013650       0.006586
     1.800       0.003068       0.003376
     1.900      -0.007253       0.000163
     2.000      -0.016896      -0.002940
     2.100      -0.025460      -0.005822
     2.200      -0.032587      -0.008377
     2.300      -0.037979      -0.010512
     2.400      -0.041417      -0.012151
     2.500      -0.042776      -0.013237
     2.600      -0.042028      -0.013738
     2.700      -0.039246      -0.013646
     2.800      -0.034603      -0.012979
     2.900      -0.028363      -0.011778
     3.000      -0.020862      -0.010110
     3.100      -0.012499      -0.008059
     3.200      -0.003707      -0.005723
     3.300       0.005063      -0.003213
     3.400       0.013368      -0.000643
     3.500       0.020795       0.001872
     3.600       0.026983       0.004223
     3.700       0.031637       0.006310
     3.800       0.034543       0.008048
     3.900       0.035580       0.009371
     4.000       0.034720       0.010232
     4.100       0.032032       0.010606
     4.200       0.027671       0.010490
     4.300       0.021876       0.009902
     4.400       0.014951       0.008881
     4.500       0.007248       0.007483
     4.600      -0.000844       0.005778
     4.700      -0.008928       0.003846
     4.800      -0.016610       0.001774
     4.900      -0.023521      -0.000347
     5.000      -0.029334      -0.002428
     5.100      -0.033776      -0.004386
     5.200      -0.036641      -0.006146
     5.300      -0.037795      -0.007642
     5.400      -0.037182      -0.008823
     5.500      -0.034824      -0.009652
     5.600      -0.030814      -0.010107
     5.700      -0.025317      -0.010182
     5.800      -0.018554      -0.009884
     5.900      -0.010792      -0.009236
     6.000      -0.002334      -0.008270
     6.100       0.006494      -0.007031
     6.200       0.015363      -0.005568
     6.300       0.023947      -0.003939
     6.400       0.031939      -0.002201
     6.500       0.039061      -0.000415
     6.600       0.045073       0.001363
     6.700       0.049781       0.003079
     6.800       0.053040       0.004684
     6.900       0.054759       0.006136
     7.000       0.054899       0.007402
     7.100       0.053472       0.008455
     7.200       0.050538       0.009279
     7.300       0.046201       0.009863
     7.400       0.040602       0.010206
     7.500       0.033909       0.010315
     7.600       0.026317       0.010201
     7.700       0.018032       0.009883
     7.800       0.009269       0.009382
     7.900       0.000243       0.008723
     8.000      -0.008838       0.007934
     8.100      -0.017777       0.007043
     8.200      -0.026394       0.006079
     8.300      -0.034532       0.005070
     8.400      -0.042055       0.004041
     8.500      -0.048851       0.003018
     8.600      -0.054837       0.002021
     8.700      -0.059955       0.001069
     8.800      -0.064169       0.000177
